CODE_LIGNE;LIB_LIGNE;STATUT;RG_TRONCON;PKD;PKF;IDGAIA;X_D_L93;Y_D_L93;X_F_L93;Y_F_L93;X_D_WGS84;Y_D_WGS84;X_F_WGS84;Y_F_WGS84;C_GEO_D;C_GEO_F
250000;Ligne de Busigny à Somain;Exploitée;1;181+278;231+437;79d8cd5c-e28c-11e8-92ff-01b064e0362d;732353.1947999969;6994387.4673999995;719716.1921000034;7028676.1283;3.4512557737328873;50.04706477566792;3.276675054947087;50.35548697215674;50.0470647757,3.45125577373;50.3554869722,3.27667505495
967300;Raccordement de La Folie (La Garenne-Bezons);Exploitée;1;008+468;012+081;79e25e96-e28c-11e8-92ff-01b064e0362d;643874.1494000033;6867832.9668999985;643990.0279000029;6865859.2491;2.234300985875777;48.90804490207805;2.236142234323704;48.89030645632284;48.9080449021,2.23430098588;48.8903064563,2.23614223432
991302;Raccordement de Gagny-Sud;Exploitée;1;000+000;000+538;79e29884-e28c-11e8-92ff-01b064e0362d;665267.3192000017;6863432.390299998;665559.5952999964;6863857.677499998;2.52650893689158;48.86998150544611;2.53045880297754;48.8738217766004;48.8699815054,2.52650893689;48.8738217766,2.53045880298
570350;Raccordement de La Celle Saint-Avant;Exploitée;1;000+000;004+075;79e61676-e28c-11e8-92ff-01b064e0362d;517176.9997999966;6661047.035999998;517986.2057000026;6664584.783399999;0.59253894152589;47.0245696566135;0.601773752108661;47.05662787765073;47.0245696566,0.592538941526;47.0566278777,0.601773752109
204000;Ligne de Mohon à Thionville;Exploitée;1;000-058;000+969;79d7b2fe-e28c-11e8-92ff-01b064e0362d;825026.2581999972;6962853.314300001;826008.0822999999;6962405.204999998;4.733921190685569;49.75228608108127;4.74739564438374;49.748066427157426;49.7522860811,4.73392119069;49.7480664272,4.74739564438
830346;Raccordement de Livron-Sud (bifurcation sud);Exploitée;1;635+266;635+530;79e10784-e28c-11e8-92ff-01b064e0362d;844407.2540000007;6409771.2206000015;844355.5595000014;6409512.877300002;4.825330205488655;44.77206063972405;4.824601568445701;44.76974612581356;44.7720606397,4.82533020549;44.7697461258,4.82460156845
943000;Ligne des Arcs à Draguignan;Exploitée;1;000+483;004+990;79e226de-e28c-11e8-92ff-01b064e0362d;982339.7456;6268228.140900001;984075.1807999983;6271228.642299999;6.48808529219065;43.457019285148206;6.511144294144508;43.48329596483161;43.4570192851,6.48808529219;43.4832959648,6.51114429414
796000;Ligne de St-Just-sur-Loire à St-Just-St-Rambert;Exploitée;1;000-124;001+900;79e07374-e28c-11e8-92ff-01b064e0362d;800002.4820000008;6490892.3937;798704.821800001;6490556.3422;4.280796312108051;45.51020323611826;4.264110301655887;45.507365884696135;45.5102032361,4.28079631211;45.5073658847,4.26411030166
062000;Ligne d'Arches à St-Dié;Exploitée;1;000+232;000+600;79d706e0-e28c-11e8-92ff-01b064e0362d;962666.5680000037;6785709.6329;962999.1503999978;6785553.8127;6.531059250884853;48.118891443373464;6.535430503183596;48.117356844712184;48.1188914434,6.53105925088;48.1173568447,6.53543050318
070908;Boucle de Vaires;Exploitée;1;000+260;006+043;79d856ce-e28c-11e8-92ff-01b064e0362d;673243.7268000022;6863974.2619;673107.7771999985;6863965.546399999;2.635210902672773;48.875235292912585;2.633357974268147;48.87515125227901;48.8752352929,2.63521090267;48.8751512523,2.63335797427
