stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopPoint:OCETrain TER-87722439,Givors Canal,,45.5957420,4.77252200,,,0,StopArea:OCE87722439
StopArea:OCE87722538,Feyzin,,45.6656760,4.85304300,,,1,
StopPoint:OCETrain TER-87722538,Feyzin,,45.6656760,4.85304300,,,0,StopArea:OCE87722538
StopArea:OCE87722546,Sérézin,,45.6272640,4.81812000,,,1,
StopPoint:OCECar TER-87722546,Sérézin,,45.6272640,4.81812000,,,0,StopArea:OCE87722546
StopPoint:OCETrain TER-87722546,Sérézin,,45.6272640,4.81812000,,,0,StopArea:OCE87722546
StopArea:OCE87722561,Chasse-sur-Rhône,,45.5824060,4.79484800,,,1,
StopPoint:OCECar TER-87722561,Chasse-sur-Rhône,,45.5824060,4.79484800,,,0,StopArea:OCE87722561
StopPoint:OCETrain TER-87722561,Chasse-sur-Rhône,,45.5824060,4.79484800,,,0,StopArea:OCE87722561
StopArea:OCE87722579,Estressin,,45.5398290,4.86856300,,,1,
StopPoint:OCETrain TER-87722579,Estressin,,45.5398290,4.86856300,,,0,StopArea:OCE87722579
StopArea:OCE87722587,Vienne,,45.5212310,4.87427400,,,1,
StopPoint:OCETrain TER-87722587,Vienne,,45.5212310,4.87427400,,,0,StopArea:OCE87722587
StopArea:OCE87722652,Saint-Clair - Les Roches,,45.4503030,4.76966900,,,1,
StopPoint:OCECar TER-87722652,Saint-Clair - Les Roches,,45.4503030,4.76966900,,,0,StopArea:OCE87722652
StopPoint:OCETrain TER-87722652,Saint-Clair - Les Roches,,45.4503030,4.76966900,,,0,StopArea:OCE87722652
StopArea:OCE87722678,Le Péage-de-Roussillon,,45.3717240,4.79540600,,,1,
StopPoint:OCECar TER-87722678,Le Péage-de-Roussillon,,45.3717240,4.79540600,,,0,StopArea:OCE87722678
StopPoint:OCETrain TER-87722678,Le Péage-de-Roussillon,,45.3717240,4.79540600,,,0,StopArea:OCE87722678
StopArea:OCE87722702,Francheville,,45.7339200,4.76974800,,,1,
StopPoint:OCETramTrain-87722702,Francheville,,45.7339200,4.76974800,,,0,StopArea:OCE87722702
StopArea:OCE87722710,Chaponost,,45.6984840,4.76437000,,,1,
StopPoint:OCETramTrain-87722710,Chaponost,,45.6984840,4.76437000,,,0,StopArea:OCE87722710
StopArea:OCE87722728,Brignais,,45.6735380,4.76352000,,,1,
StopPoint:OCETramTrain-87722728,Brignais,,45.6735380,4.76352000,,,0,StopArea:OCE87722728
StopArea:OCE87722744,Alaï,,45.7524280,4.77169500,,,1,
StopPoint:OCETramTrain-87722744,Alaï,,45.7524280,4.77169500,,,0,StopArea:OCE87722744
StopArea:OCE87722785,Le Muy Gastinel,,43.4704400,6.56118000,,,1,
