route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
FR:Line::4B0DFE2B-138B-455F-BCEF-0B57A660A95F:,1187,K10,Paris Nord - Amiens,,2,,,
FR:Line::4B8D360E-99CF-40DA-9000-696B383E86CF:,1187,K12,Nantes - Brest,,2,,,
FR:Line::4BBFA233-37AB-432A-BCCF-FB90719B1F8A:,1187,P2,Rennes - Vannes,,2,,,
FR:Line::4C1C23AB-EE1B-4F45-A1E3-A8523BA51B6D:,1187,P62,Vichy - Commentry - Montlucon - Urcay,,3,,,
FR:Line::4C1C52D6-7361-4CE0-8566-7FC773A11187:,1187,P78,Clermont-Ferrand - Le Mont Dore,,3,,,
FR:Line::4C6D5712-22E7-4374-A093-FA163D37119F:,1187,C7,Nantes - Châteaubriant,,0,,,
FR:Line::4CE4E61A-1416-4F82-9772-4D5E10CFF8BF:,1187,C36,Strasbourg - Niederbronn Les Bains,,2,,,
FR:Line::4CF9CA84-316C-4DEE-BED1-898CE033E816:,1187,P25,Forcalquier - Manosque - Marseille,,3,,,
FR:Line::4D2207B0-5022-4525-982D-7806A16FF6FF:,1187,P85,Auxerre - Corbigny,,3,,,
FR:Line::4E107FD7-35FD-4917-837F-6C15155AF6C4:,1187,K82,(Namur) - (Charleroi) - Maubeuge,,2,,,
FR:Line::4E3AACA5-7784-4A62-99BB-F7B1B040D001:,1187,K1,Orléans - Nantes - Le Croisic,,2,,,
FR:Line::4FCCF995-7BFF-4F64-8F81-BCCA421B95D8:,1187,P7,Tours - Bourges - Nevers,,2,,,
FR:Line::4a6237b8-ef50-4f1e-a9e9-2dc76c76f45c:,1187,K5,PARIS - DIJON,,2,,,
FR:Line::4f784834-828d-4bbf-a65d-d21599ce8dc2:,1187,L31,31. Limoges - Périgueux - Bordeaux,,2,,,
FR:Line::507B8DD6-051D-4DE5-8895-5DA0A019D31D:,1187,K1+,Marseille - Nice,,2,,,
FR:Line::50C0FC37-378D-4D7D-A18B-F9513AB7E75E:,1187,P32,32. Bordeaux-Brive-Ussel,,2,,,
FR:Line::510B9A71-D5BA-4662-BBF4-52C37975DCD5:,1187,P815,Mommenheim - Bouxwiller,,3,,,
FR:Line::514f7286-d90a-4a5f-a186-9e672880c946:,1187,C71,REIMS - SAINT DIZIER,,2,,,
FR:Line::51E75535-AD1F-4D5B-815C-1513EDC94FC1:,1187,P810,Selestat - Ribeauville,,3,,,
FR:Line::52D5BA37-0A0E-43ED-AB0D-DAF12888D586:,1187,C3,Toulouse Matabiau - Narbonne,,2,,,
FR:Line::53865649-1C74-4657-9123-DA7EDE71D3DB:,1187,C16,Colomiers - St Cyprien Arenes,,2,,,
FR:Line::53D6728B-4D88-418C-823F-F3E5B975E9D6:,1187,K20,Amiens - Saint-Quentin,,2,,,
